event_id,transaction_id,store_id,customer_id,amount,payment_method,status,event_type,risk_type,severity,risk_score,risk_reason
EVT-1023,TXN-1023,3,CUST-895,349.55,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1024,TXN-1024,2,CUST-919,512.44,MOBILE_WALLET,FAILED,PAYMENT_FAILED,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1025,TXN-1025,6,CUST-870,465.8,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1026,TXN-1026,6,CUST-227,122.53,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1027,TXN-1027,7,CUST-871,380.3,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1028,TXN-1028,7,CUST-923,163.74,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1029,TXN-1029,4,CUST-815,7.19,MOBILE_WALLET,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1030,TXN-1030,3,CUST-491,55.26,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1031,TXN-1031,2,CUST-535,114.67,MOBILE_WALLET,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1032,TXN-1032,9,CUST-247,64.53,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1033,TXN-1033,8,CUST-605,31.71,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1034,TXN-1034,9,CUST-231,186.49,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1035,TXN-1035,2,CUST-399,274.9,GIFT_CARD,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1036,TXN-1036,5,CUST-343,322.33,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1037,TXN-1037,4,CUST-842,291.76,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1038,TXN-1038,6,CUST-513,86.36,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1039,TXN-1039,9,CUST-909,50.31,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1040,TXN-1040,10,CUST-869,40.99,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1041,TXN-1041,7,CUST-273,144.94,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1042,TXN-1042,9,CUST-100,534.9,MOBILE_WALLET,FAILED,PAYMENT_FAILED,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1043,TXN-1043,1,CUST-829,261.79,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1044,TXN-1044,5,CUST-432,78.77,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1045,TXN-1045,4,CUST-681,336.89,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1046,TXN-1046,6,CUST-976,327.17,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1047,TXN-1047,2,CUST-528,386.89,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1048,TXN-1048,2,CUST-589,463.74,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1049,TXN-1049,6,CUST-540,119.9,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1050,TXN-1050,8,CUST-753,359.62,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1051,TXN-1051,10,CUST-764,295.68,MOBILE_WALLET,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1052,TXN-1052,4,CUST-408,39.54,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1053,TXN-1053,2,CUST-361,29.73,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1054,TXN-1054,6,CUST-806,267.81,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1055,TXN-1055,4,CUST-332,536.18,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1056,TXN-1056,5,CUST-722,446.34,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1057,TXN-1057,5,CUST-395,297.84,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1058,TXN-1058,9,CUST-393,169.89,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1059,TXN-1059,2,CUST-131,208.32,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1060,TXN-1060,6,CUST-431,299.13,CARD,SUCCESS,PAYMENT_SUCCESS,Duplicate Transaction,High,85,Same transaction ID appears multiple times and may indicate duplicate charge.
EVT-1061,TXN-1061,3,CUST-358,175.13,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1062,TXN-1062,5,CUST-767,518.48,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1063,TXN-1063,4,CUST-831,181.62,MOBILE_WALLET,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1064,TXN-1064,10,CUST-279,359.05,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1065,TXN-1065,5,CUST-996,366.04,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1066,TXN-1066,8,CUST-711,585.72,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1067,TXN-1067,10,CUST-356,374.5,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1068,TXN-1068,10,CUST-727,99.28,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1069,TXN-1069,10,CUST-262,361.39,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1070,TXN-1070,8,CUST-914,303.25,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1071,TXN-1071,8,CUST-619,420.05,MOBILE_WALLET,FAILED,PAYMENT_FAILED,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1072,TXN-1072,6,CUST-930,357.41,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1073,TXN-1073,9,CUST-520,271.23,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1074,TXN-1074,5,CUST-665,363.19,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1075,TXN-1075,3,CUST-845,219.24,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1076,TXN-1076,10,CUST-383,582.9,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1077,TXN-1077,2,CUST-870,210.71,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1078,TXN-1078,3,CUST-732,256.26,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1079,TXN-1079,2,CUST-896,268.85,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1080,TXN-1080,6,CUST-423,236.6,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1081,TXN-1081,3,CUST-427,181.38,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1082,TXN-1082,7,CUST-942,570.72,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1083,TXN-1083,5,CUST-727,531.92,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1084,TXN-1084,1,CUST-914,431.09,CASH,SUCCESS,PAYMENT_SUCCESS,Duplicate Transaction,High,85,Same transaction ID appears multiple times and may indicate duplicate charge.
EVT-1085,TXN-1085,7,CUST-462,522.56,CARD,FAILED,PAYMENT_FAILED,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1086,TXN-1086,8,CUST-608,6.79,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1087,TXN-1087,10,CUST-951,155.53,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1088,TXN-1088,10,CUST-154,401.96,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1089,TXN-1089,2,CUST-937,351.31,CASH,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1090,TXN-1090,3,CUST-914,551.71,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1091,TXN-1091,9,CUST-116,421.71,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1092,TXN-1092,1,CUST-693,388.24,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1093,TXN-1093,7,CUST-755,381.75,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1094,TXN-1094,2,CUST-861,414.98,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1095,TXN-1095,7,CUST-988,540.21,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1096,TXN-1096,5,CUST-645,570.0,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1097,TXN-1097,8,CUST-188,154.02,MOBILE_WALLET,REFUNDED,REFUND_INITIATED,Refund Event,Medium,65,Refund event detected and should be reviewed for policy compliance.
EVT-1098,TXN-1098,8,CUST-608,412.0,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1099,TXN-1099,1,CUST-432,467.45,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1100,TXN-1100,4,CUST-239,411.94,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1101,TXN-1101,7,CUST-667,336.91,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1102,TXN-1102,6,CUST-898,457.98,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1103,TXN-1103,9,CUST-367,503.48,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1104,TXN-1104,10,CUST-490,497.4,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1105,TXN-1105,10,CUST-272,303.89,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1106,TXN-1106,2,CUST-369,409.29,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1107,TXN-1107,2,CUST-675,512.56,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1108,TXN-1108,7,CUST-115,120.63,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1109,TXN-1109,4,CUST-560,283.82,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1110,TXN-1110,3,CUST-338,460.81,CASH,SUCCESS,PAYMENT_SUCCESS,Duplicate Transaction,High,85,Same transaction ID appears multiple times and may indicate duplicate charge.
EVT-1111,TXN-1111,6,CUST-776,31.13,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1112,TXN-1112,6,CUST-522,148.18,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1113,TXN-1113,6,CUST-503,253.0,CARD,REFUNDED,REFUND_INITIATED,Refund Event,Medium,65,Refund event detected and should be reviewed for policy compliance.
EVT-1114,TXN-1114,5,CUST-992,319.55,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1115,TXN-1115,2,CUST-244,501.63,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1116,TXN-1116,6,CUST-653,312.97,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1117,TXN-1117,6,CUST-174,390.62,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1118,TXN-1118,6,CUST-816,218.62,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1119,TXN-1119,9,CUST-111,372.6,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1120,TXN-1120,7,CUST-137,558.07,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1121,TXN-1121,10,CUST-718,443.56,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1122,TXN-1122,1,CUST-298,217.76,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1123,TXN-1123,2,CUST-979,177.39,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1124,TXN-1124,9,CUST-716,201.2,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1125,TXN-1125,2,CUST-383,501.12,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1126,TXN-1126,9,CUST-959,381.13,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1127,TXN-1127,3,CUST-403,49.51,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1128,TXN-1128,7,CUST-580,565.9,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1129,TXN-1129,2,CUST-378,209.02,GIFT_CARD,REFUNDED,REFUND_INITIATED,Refund Event,Medium,65,Refund event detected and should be reviewed for policy compliance.
EVT-1130,TXN-1130,2,CUST-823,23.8,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1131,TXN-1131,7,CUST-211,207.78,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1132,TXN-1132,1,CUST-705,441.43,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1133,TXN-1133,9,CUST-121,85.76,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1134,TXN-1134,8,CUST-708,173.95,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1135,TXN-1135,6,CUST-989,555.16,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1136,TXN-1136,8,CUST-173,501.89,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1137,TXN-1137,10,CUST-261,413.55,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1138,TXN-1138,9,CUST-353,189.3,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1139,TXN-1139,3,CUST-901,342.05,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1140,TXN-1140,2,CUST-247,570.76,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1141,TXN-1141,7,CUST-979,465.57,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1142,TXN-1142,9,CUST-752,425.0,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1143,TXN-1143,3,CUST-541,497.96,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1144,TXN-1144,2,CUST-979,50.1,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1145,TXN-1145,8,CUST-416,519.94,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1146,TXN-1146,2,CUST-705,201.57,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1147,TXN-1147,1,CUST-248,538.38,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1148,TXN-1148,8,CUST-794,246.05,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1149,TXN-1149,5,CUST-309,73.62,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1150,TXN-1150,2,CUST-929,377.53,MOBILE_WALLET,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1151,TXN-1151,5,CUST-168,595.0,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1152,TXN-1152,2,CUST-423,103.88,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1153,TXN-1153,1,CUST-428,356.5,CASH,SUCCESS,PAYMENT_SUCCESS,Duplicate Transaction,High,85,Same transaction ID appears multiple times and may indicate duplicate charge.
EVT-1154,TXN-1154,9,CUST-757,54.15,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1155,TXN-1155,2,CUST-881,26.91,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1156,TXN-1156,10,CUST-269,384.25,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1157,TXN-1157,3,CUST-944,486.56,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1158,TXN-1158,7,CUST-752,352.23,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1159,TXN-1159,1,CUST-418,437.51,MOBILE_WALLET,FAILED,PAYMENT_FAILED,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1160,TXN-1160,10,CUST-280,201.42,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1161,TXN-1161,7,CUST-660,308.49,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1162,TXN-1162,3,CUST-812,598.37,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1163,TXN-1163,10,CUST-699,143.7,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1164,TXN-1164,7,CUST-965,259.93,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1165,TXN-1165,4,CUST-844,585.03,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1166,TXN-1166,4,CUST-592,202.7,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1167,TXN-1167,2,CUST-860,83.49,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1168,TXN-1168,8,CUST-676,199.53,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1169,TXN-1169,2,CUST-167,168.12,GIFT_CARD,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1170,TXN-1170,4,CUST-555,381.5,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1171,TXN-1171,7,CUST-130,400.38,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1172,TXN-1172,1,CUST-569,472.11,GIFT_CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1173,TXN-1173,3,CUST-612,367.19,GIFT_CARD,REFUNDED,REFUND_INITIATED,Refund Event,Medium,65,Refund event detected and should be reviewed for policy compliance.
EVT-1174,TXN-1174,5,CUST-888,531.27,CARD,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1175,TXN-1175,3,CUST-602,34.84,CARD,FAILED,PAYMENT_FAILED,Failed Payment,Medium,60,Payment transaction failed and may require retry or customer follow-up.
EVT-1176,TXN-1176,3,CUST-308,23.58,CASH,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1177,TXN-1177,8,CUST-149,262.94,CARD,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
EVT-1178,TXN-1178,3,CUST-445,505.46,CASH,SUCCESS,PAYMENT_SUCCESS,High-Value Transaction,High,75,Transaction amount exceeds high-value threshold and may require review.
EVT-1179,TXN-1179,2,CUST-133,116.52,MOBILE_WALLET,SUCCESS,PAYMENT_SUCCESS,Normal,Low,0,No risk detected
